2017-03-08 15:50:21.321  INFO 24928 --- [main] .MicroserviceGraphBuilderServiceImplTest : Starting MicroserviceGraphBuilderServiceImplTest with PID 24928 (started by bernie in /home/bernie/project/mgp-all/mgpback)
2017-03-08 15:50:21.322  INFO 24928 --- [main] .MicroserviceGraphBuilderServiceImplTest : The following profiles are active: log
2017-03-08 15:50:21.353  INFO 24928 --- [main] ationConfigEmbeddedWebApplicationContext : Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@7dfb0c0f: startup date [Wed Mar 08 15:50:21 CST 2017]; root of context hierarchy
2017-03-08 15:50:21.975  INFO 24928 --- [main] .s.d.r.c.RepositoryConfigurationDelegate : Multiple Spring Data modules found, entering strict repository configuration mode!
2017-03-08 15:50:22.025  INFO 24928 --- [main] .s.d.r.c.RepositoryConfigurationDelegate : Multiple Spring Data modules found, entering strict repository configuration mode!
2017-03-08 15:50:23.020  INFO 24928 --- [main] s.b.c.e.t.TomcatEmbeddedServletContainer : Tomcat initialized with port(s): 0 (http)
2017-03-08 15:50:25.136  WARN 24928 --- [main] o.s.d.n.mapping.Neo4jPersistentProperty  : No identity field found for class of type: soselab.mpg.graph.service.GraphBuildTask when creating persistent property for field: private final soselab.mpg.graph.service.handler.ServiceBuildHandler soselab.mpg.graph.service.GraphBuildTask.serviceBuildHandler
2017-03-08 15:50:25.137  WARN 24928 --- [main] o.s.d.n.mapping.Neo4jPersistentProperty  : No identity field found for class of type: soselab.mpg.graph.service.handler.ServiceBuildHandler when creating persistent property for field: private final soselab.mpg.graph.repository.ServiceNodeRepository soselab.mpg.graph.service.handler.ServiceBuildHandler.serviceNodeRepository
2017-03-08 15:50:25.138  WARN 24928 --- [main] o.s.d.n.mapping.Neo4jPersistentProperty  : No identity field found for class of type: soselab.mpg.graph.service.handler.ServiceBuildHandler when creating persistent property for field: private final soselab.mpg.graph.repository.EndpointNodeRepository soselab.mpg.graph.service.handler.ServiceBuildHandler.endpointNodeRepository
2017-03-08 15:50:25.139  WARN 24928 --- [main] o.s.d.n.mapping.Neo4jPersistentProperty  : No identity field found for class of type: soselab.mpg.graph.service.handler.ServiceBuildHandler when creating persistent property for field: private final soselab.mpg.graph.repository.CallRelationshipRepository soselab.mpg.graph.service.handler.ServiceBuildHandler.callRelationshipRepository
2017-03-08 15:50:25.140  WARN 24928 --- [main] o.s.d.n.mapping.Neo4jPersistentProperty  : No identity field found for class of type: soselab.mpg.graph.service.handler.ServiceBuildHandler when creating persistent property for field: private final soselab.mpg.mpd.service.MPDService soselab.mpg.graph.service.handler.ServiceBuildHandler.mpdService
2017-03-08 15:50:25.142  INFO 24928 --- [main] o.s.d.neo4j.mapping.Neo4jMappingContext  : No class information found in OGM meta-data for class java.util.concurrent.ConcurrentHashMap so treating as simple type for SD Commons
2017-03-08 15:50:25.142  WARN 24928 --- [main] o.s.d.n.mapping.Neo4jPersistentProperty  : No identity field found for class of type: soselab.mpg.graph.service.handler.ServiceBuildHandler when creating persistent property for field: private java.util.concurrent.ConcurrentHashMap soselab.mpg.graph.service.handler.ServiceBuildHandler.allEndpointNodesMap
2017-03-08 15:50:25.147  WARN 24928 --- [main] o.s.d.n.mapping.Neo4jPersistentProperty  : No identity field found for class of type: soselab.mpg.graph.service.handler.ServiceBuildHandler when creating persistent property for field: private java.util.List soselab.mpg.graph.service.handler.ServiceBuildHandler.callRelationshipList
2017-03-08 15:50:25.152  WARN 24928 --- [main] o.s.d.n.mapping.Neo4jPersistentProperty  : No identity field found for class of type: soselab.mpg.graph.service.handler.ServiceBuildHandler when creating persistent property for field: private java.util.List soselab.mpg.graph.service.handler.ServiceBuildHandler.endpointNodes
2017-03-08 15:50:25.153  WARN 24928 --- [main] o.s.d.n.mapping.Neo4jPersistentProperty  : No identity field found for class of type: soselab.mpg.graph.service.GraphBuildTask when creating persistent property for field: private final soselab.mpg.graph.service.handler.ScenarioBuildHandler soselab.mpg.graph.service.GraphBuildTask.scenarioBuildHandler
